obj after improve: 43,182,139
t | queued | free_L0_area_frac
   9 |   3 | 0.529
  10 |   7 | 0.521
  11 |   8 | 0.510
  13 |  19 | 0.508
  15 |  26 | 0.503
  17 |  30 | 0.505
  18 |  33 | 0.496
  19 |  36 | 0.502
  20 |  42 | 0.507
  21 |  46 | 0.502
  22 |  48 | 0.490
  23 |  47 | 0.488
  24 |  49 | 0.484
  25 |  49 | 0.487
  26 |  48 | 0.481
  27 |  50 | 0.472
  28 |  47 | 0.452
  29 |  46 | 0.455
  30 |  48 | 0.461
  31 |  44 | 0.485
  32 |  46 | 0.464
  33 |  55 | 0.463
  34 |  60 | 0.464
  35 |  60 | 0.460
  36 |  66 | 0.444
  37 |  64 | 0.450
  38 |  68 | 0.460
  39 |  72 | 0.457
  40 |  76 | 0.452
  41 |  80 | 0.462
  42 |  84 | 0.458
  43 |  83 | 0.456
  44 |  83 | 0.459
  45 |  84 | 0.457
  46 |  86 | 0.447
  47 |  90 | 0.448
  48 |  88 | 0.447
  49 |  82 | 0.446
  50 |  80 | 0.445
  52 |  70 | 0.442
  53 |  68 | 0.458
  54 |  66 | 0.463
  55 |  62 | 0.461
  56 |  60 | 0.457
  57 |  56 | 0.447
  58 |  51 | 0.442
  59 |  51 | 0.446
  60 |  48 | 0.441
  61 |  47 | 0.447
  62 |  46 | 0.465
  63 |  44 | 0.480
  64 |  41 | 0.491
  65 |  39 | 0.478
  66 |  38 | 0.481
  67 |  37 | 0.490
  68 |  36 | 0.481
  69 |  36 | 0.495
  70 |  32 | 0.459
  71 |  32 | 0.472
  73 |  31 | 0.479
  74 |  31 | 0.501
  75 |  26 | 0.454
  76 |  23 | 0.434
  77 |  22 | 0.429
  78 |  21 | 0.433
  79 |  21 | 0.441
  80 |  21 | 0.446
  81 |  20 | 0.455
  82 |  19 | 0.465
  83 |  18 | 0.465
  85 |  18 | 0.478
  86 |  17 | 0.458
  87 |  16 | 0.453
  88 |  15 | 0.450
  89 |  13 | 0.448
  90 |  13 | 0.459
  91 |  12 | 0.472
  92 |  12 | 0.505
  94 |  10 | 0.527
  95 |   8 | 0.491
  97 |   7 | 0.488
  99 |   4 | 0.470
 100 |   4 | 0.511
 101 |   4 | 0.559
 103 |   3 | 0.533
tard=3085
