started Wed, Jul 15, 2026  5:10:23 PM
prob_23:      2,524,154  (545.5s)  obj1=157.0 obj2=1913 obj3=1910.0
prob_26:      8,551,513  (551.0s)  obj1=578.0 obj2=827 obj3=5595.0
prob_27:     24,972,962  (549.9s)  obj1=1726.0 obj2=502 obj3=4898.0
prob_30:      3,363,565  (548.3s)  obj1=209.0 obj2=4942 obj3=2786.0
prob_31:      8,124,019  (553.1s)  obj1=397.0 obj2=2965 obj3=10569.0
prob_33:      7,734,338  (552.7s)  obj1=1034.0 obj2=606 obj3=5564.0
prob_38:     36,351,493  (561.2s)  obj1=2569.0 obj2=3558 obj3=6973.0
prob_39:      8,389,519  (562.2s)  obj1=553.0 obj2=2805 obj3=6701.0
------------------------------------------------------------
TOTAL (feasible only) = 100,011,563   feasible 8/8
