,prob_1,prob_2,prob_3,prob_4,prob_5,prob_6,prob_7,prob_8,prob_9,prob_10,prob_11,prob_12,prob_13,prob_14,prob_15,prob_16,prob_17,prob_18,prob_19,prob_20,prob_21,prob_22,prob_23,prob_24,prob_25,prob_26,prob_27,prob_28,prob_29,prob_30,prob_31,prob_32,prob_33,prob_34,prob_35,prob_36,prob_37,prob_38,prob_39,prob_40,total
algorithm 1,508485,503696,90280,658813,237029,3701491,2176093,462428,260169,140609,876977,181979,1576251,234663,183186,131287,188765,484479,187924,12772233,6004294,5825756,35451915,2306330,2413975,28471300,173951042,11990741,4154922,36749503,43452494,9541205,43466738,5609545,39960251,761151,27922369,472513932,79375462,11371216,1066850978
algorithm 2,108561,23530,90280,83402,185376,1012206,222342,174212,131185,140609,484619,181979,195892,233799,183186,131287,188765,389886,187924,1247274,4292640,1534699,15085012,2307405,952015,22624721,98118620,10211684,1896557,17412870,90590606,18409802,114333980,5797330,37513677,706408,68689162,777913924,345969689,18182398,1658139513
algorithm 3,166743,23530,90280,83402,106707,235112,122178,12412,116625,120358,174399,181979,195892,234663,90005,131287,114216,143520,119553,1109606,4510988,1371028,8669822,2320738,897864,22736778,52400285,9145575,1896557,14387771,19487581,5544128,18092498,4642249,14601613,548307,10474708,210670582,29747433,6753911,442472883
algorithm 4,151662,23530,90280,83402,106707,205482,114401,12412,106065,110922,174399,176589,195892,234663,89798,131287,113659,143520,119553,770937,4510988,1371028,8247021,2320738,897864,22736778,52066960,9145575,1896557,14387771,20632900,5544128,18730022,4614579,11571529,507669,10613056,192189843,31214939,6606591,422961696
algorithm 5,166743,23530,90280,83402,106707,205482,114401,12412,106065,120358,174399,181979,195892,234663,89798,131287,114216,143520,119553,544247,4510988,1371028,8669822,2320738,897864,22736778,52400285,9145575,1896557,14387771,19208122,5544128,18009467,3488961,11385884,507669,9803526,126610114,29747433,4311567,349913211
algorithm 5 (1w full-CPU 150s),166743,23530,90280,83402,106707,205482,114401,12412,106065,120358,174399,181979,195892,234663,89798,131287,114216,143520,119553,544247,4510988,1371028,8669822,2320738,897864,22736778,52400285,9145575,1896557,14387771,19208122,5544128,18009467,3488961,11385884,507669,9803526,95095421,29747433,3788423,317875374
joint_floor_obj1=0,1499,3690,39050,15946,37393,31477,28504,11252,16625,66185,8008,39753,29194,16186,23410,21720,41114,20568,33461,66990,80470,36937,4579,24755,5547,74172,31156,17238,34782,16252,178971,28565,19080,20986,22945,25379,63004,17678,25594,25677,1305792
algorithm 8 (1w 100s),166743,23530,90280,83402,106707,205482,114401,12412,106065,120358,137050,181979,195892,234663,89798,131287,114216,143520,119553,544247,4510988,1281391,7877270,2320738,744204,20604236,52400285,8874476,1896557,14387771,18900332,5039898,17219697,3488961,11385884,507669,8968772,94292570,29747433,3788423,311159140
algorithm 9 (1w 300s),166743,23530,90280,83402,106707,205482,114401,12412,106065,120358,137050,181979,195892,234663,89798,131287,114216,143520,119553,544247,4510988,1281391,7461311,2320738,822293,18735273,48919611,8874476,1896557,11759583,18900332,5039898,17773091,3168683,11385884,507669,8986762,94292570,27053638,3788423,300400756
algorithm 9,166743,23530,90280,83402,106707,205482,114401,12412,106065,120358,137050,181979,195892,234663,89798,131287,114216,143520,119553,544247,4510988,1281391,7461311,2320738,820769,18735273,48919611,8874476,1896557,11136533,17638531,5414615,16666198,3168683,11385884,507669,9031838,94292570,27053638,3788423,297827281
algorithm 10 (4w 300s),166743,23530,90280,83402,99450,205482,114401,12412,104605,100898,82628,178633,176828,152319,78259,131287,114216,133544,109430,544247,4464913,1281391,6613919,2034701,739136,16816061,48919611,8834745,1869891,10830851,17770214,5321212,16731780,3488961,9308547,490447,8863080,91317838,27053638,3647003,289100533
